43,-8,8
43,-7,10
43,-6,10
43,-5,8
43,-4,8
43,-3,8
43,-2,8
43,-1,8
45,-12,8
45,-11,10
45,-10,8
45,-9,8
45,-8,8
45,-7,10
45,-6,10
45,-5,8
45,-4,8
45,-3,8
45,-2,8
45,-1,8
46,-12,8
46,-11,10
46,-10,8
46,-9,8
46,-8,8
46,-7,10
46,-6,10
46,-5,8
46,-4,8
46,-3,8
46,-2,8
46,-1,8
47,-12,8
47,-11,10
47,-10,8
47,-9,8
47,-8,8
47,-7,10
47,-6,10
47,-5,8
47,-4,8
47,-3,8
47,-2,8
47,-1,8
49,-12,8
49,-11,10
49,-10,8
49,-9,8
49,-8,8
49,-7,10
49,-6,10
49,-5,8
49,-4,8
49,-3,8
49,-2,8
49,-1,8
50,-12,8
50,-11,10
50,-10,8
50,-9,8
50,-8,8
50,-7,10
50,-6,10
50,-5,8
50,-4,8
50,-3,8
50,-2,8
50,-1,8
53,-12,8
53,-11,10
53,-10,8
53,-9,8
53,-8,8
53,-7,10
53,-6,10
53,-5,8
53,-4,8
53,-3,8
53,-2,8
53,-1,8
54,-12,8
54,-11,10
54,-10,8
54,-9,8
54,-8,8
54,-7,10
54,-6,10
54,-5,8
54,-4,8
54,-3,8
54,-2,8
54,-1,8
56,-12,8
56,-11,10
56,-10,8
56,-9,8
56,-8,8
56,-7,10
56,-6,10
56,-5,8
56,-4,8
56,-3,8
56,-2,8
56,-1,8
58,-12,8
58,-11,10
58,-10,8
58,-9,8
58,-8,8
58,-7,10
58,-6,10
58,-5,8
58,-4,8
58,-3,8
58,-2,8
58,-1,8
59,-12,8
59,-11,10
59,-10,8
59,-9,8
59,-8,8
59,-7,10
59,-6,10
59,-5,8
59,-4,8
59,-3,8
59,-2,8
59,-1,8
60,-12,8
60,-11,10
60,-10,8
60,-9,8
60,-8,8
60,-7,10
60,-6,10
60,-5,8
60,-4,8
60,-3,8
60,-2,8
60,-1,8
62,-12,8
62,-11,10
62,-10,8
62,-9,8
62,-8,8
62,-7,10
62,-6,10
62,-5,8
62,-4,8
62,-3,8
62,-2,8
62,-1,8
65,-12,8
65,-11,10
65,-10,8
65,-9,8
65,-8,8
65,-7,10
65,-6,10
65,-5,8
65,-4,8
65,-3,8
65,-2,8
65,-1,8
66,-12,8
66,-11,10
66,-10,8
66,-9,8
66,-8,8
66,-7,10
66,-6,10
66,-5,8
66,-4,8
66,-3,8
66,-2,8
66,-1,8
67,-12,8
67,-11,10
67,-10,8
67,-9,8
67,-8,8
67,-7,10
67,-6,10
67,-5,8
67,-4,8
67,-3,8
67,-2,8
67,-1,8
68,-12,8
68,-11,10
68,-10,8
68,-9,8
68,-8,8
68,-7,10
68,-6,10
68,-5,8
68,-4,8
68,-3,8
68,-2,8
68,-1,8
72,-12,8
72,-11,10
72,-10,8
72,-9,8
72,-8,8
72,-7,10
72,-6,10
72,-5,8
72,-4,8
72,-3,8
72,-2,8
72,-1,8
73,-12,8
73,-11,10
73,-10,8
73,-9,8
73,-8,8
73,-7,10
73,-6,10
73,-5,8
73,-4,8
73,-3,8
73,-2,8
73,-1,8
74,-12,8
74,-11,10
74,-10,8
74,-9,8
74,-8,8
74,-7,10
74,-6,10
74,-5,8
74,-4,8
74,-3,8
74,-2,8
74,-1,8
75,-12,8
75,-11,10
75,-10,8
75,-9,8
75,-8,8
75,-7,10
75,-6,10
75,-5,8
75,-4,8
75,-3,8
75,-2,8
75,-1,8
76,-12,8
76,-11,10
76,-10,8
76,-9,8
76,-8,8
76,-7,10
76,-6,10
76,-5,8
76,-4,8
76,-3,8
76,-2,8
76,-1,8
77,-12,8
77,-11,10
77,-10,8
77,-9,8
77,-8,8
77,-7,10
77,-6,10
77,-5,8
77,-4,8
77,-3,8
77,-2,8
77,-1,8
78,-12,8
78,-11,10
78,-10,8
78,-9,8
78,-8,8
78,-7,10
78,-6,10
78,-5,8
78,-4,8
78,-3,8
78,-2,8
78,-1,8
79,-12,8
79,-11,10
79,-10,8
79,-9,8
79,-8,8
79,-7,10
79,-6,10
79,-5,8
79,-4,8
79,-3,8
79,-2,8
79,-1,8
80,-12,8
80,-11,10
80,-10,8
80,-9,8
80,-8,8
80,-7,10
80,-6,10
80,-5,8
80,-4,8
80,-3,8
80,-2,8
80,-1,8
81,-12,8
81,-11,10
81,-10,8
81,-9,8
81,-8,8
81,-7,10
81,-6,10
81,-5,8
81,-4,8
81,-3,8
81,-2,8
81,-1,8
82,-12,8
82,-11,10
82,-10,8
82,-9,8
82,-8,8
82,-7,10
82,-6,10
82,-5,8
82,-4,8
82,-3,8
82,-2,8
82,-1,8
84,-12,8
84,-11,10
84,-10,8
84,-9,8
84,-8,8
84,-7,10
84,-6,10
84,-5,8
84,-4,8
84,-3,8
84,-2,8
84,-1,8
85,-12,8
85,-11,10
85,-10,8
85,-9,8
85,-8,8
85,-7,10
85,-6,10
85,-5,8
85,-4,8
85,-3,8
85,-2,8
85,-1,8
86,-12,8
86,-11,10
86,-10,8
86,-9,8
86,-8,8
86,-7,10
86,-6,10
86,-5,8
86,-4,8
86,-3,8
86,-2,8
86,-1,8
87,-12,8
87,-11,10
87,-10,8
87,-9,8
87,-8,8
87,-7,10
87,-6,10
87,-5,8
87,-4,8
87,-3,8
87,-2,8
87,-1,8
89,-12,8
89,-11,10
89,-10,8
89,-9,8
89,-8,8
89,-7,10
89,-6,10
89,-5,8
89,-4,8
89,-3,8
89,-2,8
89,-1,8
90,-12,8
90,-11,10
90,-10,8
90,-9,8
90,-8,8
90,-7,10
90,-6,10
90,-5,8
90,-4,8
90,-3,8
90,-2,8
90,-1,8
91,-12,8
91,-11,10
91,-10,8
91,-9,8
91,-8,8
91,-7,10
91,-6,10
91,-5,8
91,-4,8
91,-3,8
91,-2,8
91,-1,8
92,-12,8
92,-11,10
92,-10,8
92,-9,8
92,-8,8
92,-7,10
92,-6,10
92,-5,8
92,-4,8
92,-3,8
92,-2,8
92,-1,8
93,-12,8
93,-11,10
93,-10,8
93,-9,8
93,-8,8
93,-7,10
93,-6,10
93,-5,8
93,-4,8
93,-3,8
93,-2,8
93,-1,8
94,-12,8
94,-11,10
94,-10,8
94,-9,8
94,-8,8
94,-7,10
94,-6,10
94,-5,8
94,-4,8
94,-3,8
94,-2,8
94,-1,8
95,-12,8
95,-11,10
95,-10,8
95,-9,8
95,-8,8
95,-7,10
95,-6,10
95,-5,8
95,-4,8
95,-3,8
95,-2,8
95,-1,8
96,-12,8
96,-11,10
96,-10,8
96,-9,8
96,-8,8
96,-7,10
96,-6,10
96,-5,8
96,-4,8
96,-3,8
96,-2,8
96,-1,8
97,-12,8
97,-11,10
97,-10,8
97,-9,8
97,-8,8
97,-7,10
97,-6,10
97,-5,8
97,-4,8
97,-3,8
97,-2,8
97,-1,8
98,-12,8
98,-11,10
98,-10,8
98,-9,8
98,-8,8
98,-7,10
98,-6,10
98,-5,8
98,-4,8
98,-3,8
98,-2,8
98,-1,8
