2,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,2,2,2,2
9,0,0,0,0,0,0
10,0,0,0,2,0,2
11,0,0,2,2,2,2
12,2,0,0,2,2,2
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,2,2,2,2
22,0,0,2,2,2,2
44,2,0,0,2,2,2
16,0,0,0,0,0,0
17,0,0,0,2,0,2
18,0,0,0,2,0,2
19,0,0,0,0,0,0
20,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
26,2,0,0,2,2,2
27,2,2,0,2,2,2
28,0,2,2,2,2,2
29,0,0,2,2,0,2
30,2,2,2,2,2,2
32,0,0,0,0,0,0
33,2,2,2,2,2,2
98,0,0,2,2,2,2
97,0,0,0,0,0,0
96,2,0,0,2,2,2
95,0,0,2,2,2,2
94,0,2,0,2,2,2
93,0,0,2,2,2,2
92,0,0,2,2,2,2
91,0,0,2,2,0,0
90,0,2,0,2,2,2
89,0,2,0,2,2,2
87,0,0,2,2,2,2
86,0,0,0,0,0,0
85,0,2,0,2,2,2
84,2,0,2,2,2,2
82,0,2,0,2,2,2
81,2,0,2,2,2,2
79,0,0,0,2,0,2
78,0,2,2,2,2,2
77,2,0,2,2,2,2
76,0,2,2,2,2,2
75,0,2,2,2,2,2
74,0,2,2,2,2,2
73,0,2,0,2,2,2
72,0,0,2,2,2,2
71,0,0,0,0,0,0
68,0,2,2,2,2,2
67,2,2,2,2,2,2
66,0,0,0,2,0,2
65,2,0,2,2,2,2
64,0,2,0,2,2,2
62,0,0,2,2,2,2
60,2,2,2,2,2,2
58,2,2,2,2,2,2
56,0,0,0,2,0,2
54,0,0,0,0,0,0
53,2,2,2,2,2,2
50,2,2,2,2,2,2
49,2,0,0,2,2,2
47,0,0,0,0,0,0
46,0,0,0,0,0,0
45,2,2,2,2,2,2
43,0,0,0,0,0,0
42,2,0,2,2,2,2
41,0,0,0,0,0,0
40,0,0,0,0,0,0
39,2,2,0,2,2,2
38,2,2,2,2,2,2
37,2,2,0,2,2,2
36,0,0,0,0,0,0
35,2,0,2,2,2,2
34,2,2,0,2,2,2
