RT,6,0,6,6,6,6,6,0,0,6,6,6,6,6,6,0,6,6,6,6,6,0,0,6,6,6,6,6,0,0
MR,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0,4,4,4,4,4,0,0
TV,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
KS,2,0,3,3,3,3,3,0,0,3,3,3,3,3,2,0,3,3,3,3,3,0,0,3,3,3,3,3,0,0
NM,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0
XP,3,0,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,0,0
MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,4,0,4,4,4,4,4,0,0,4,4,4,4,4,4,0,4,4,4,4,4,0,0,4,4,4,4,4,0,0
XO,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0
AG,3,0,3,3,3,3,3,0,0,3,3,3,3,3,3,0,3,3,3,3,3,0,0,3,3,3,3,3,0,0
FR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
