A日,0
M日,1
C日,2
F日,3
A夜,4
M夜,5
C夜,6
明,7
勤,8
張,9
援,40
他,41
MR,20
TV,21
KS,22
NM,23
AG,24
RT,25
XP,26
CT,27
XO,28
FR,29
NF,30
MG,31
MT,32
AS,33
ET,34
休,10
振,50
夏,11
特,60
年,61
半,62
暇,63
ダ,12
