2,2024-02-27 00:00:00,emp,None
2,2024-02-28 00:00:00,dA,None
2,2024-02-28 00:00:00,dM,None
2,2024-02-28 00:00:00,dC,None
2,2024-02-28 00:00:00,dF,None
2,2024-02-28 00:00:00,nA,None
2,2024-02-28 00:00:00,nM,None
2,2024-02-28 00:00:00,nC,None
2,2024-02-28 00:00:00,nn,None
2,2024-02-28 00:00:00,dW,None
2,2024-02-28 00:00:00,eW,None
2,2024-02-28 00:00:00,do,None
2,2024-02-28 00:00:00,ho,None
2,2024-02-28 00:00:00,Ex,None
2,2024-02-28 00:00:00,emp,None
2,2024-02-29 00:00:00,dA,None
2,2024-02-29 00:00:00,dM,None
2,2024-02-29 00:00:00,dC,None
2,2024-02-29 00:00:00,dF,None
2,2024-02-29 00:00:00,nA,None
2,2024-02-29 00:00:00,nM,None
2,2024-02-29 00:00:00,nC,None
2,2024-02-29 00:00:00,nn,None
2,2024-02-29 00:00:00,dW,None
2,2024-02-29 00:00:00,eW,None
2,2024-02-29 00:00:00,do,None
2,2024-02-29 00:00:00,ho,None
2,2024-02-29 00:00:00,Ex,None
2,2024-02-29 00:00:00,emp,None
2,2024-03-01 00:00:00,dA,0.0
2,2024-03-01 00:00:00,dM,0.0
2,2024-03-01 00:00:00,dC,0.0
2,2024-03-01 00:00:00,dF,0.0
2,2024-03-01 00:00:00,nA,0.0
2,2024-03-01 00:00:00,nM,0.0
2,2024-03-01 00:00:00,nC,0.0
2,2024-03-01 00:00:00,nn,0.0
2,2024-03-01 00:00:00,dW,1.0
2,2024-03-01 00:00:00,eW,0.0
2,2024-03-01 00:00:00,do,0.0
2,2024-03-01 00:00:00,ho,0.0
2,2024-03-01 00:00:00,Ex,0.0
2,2024-03-01 00:00:00,emp,0.0
2,2024-03-02 00:00:00,dA,0.0
2,2024-03-02 00:00:00,dM,0.0
2,2024-03-02 00:00:00,dC,0.0
2,2024-03-02 00:00:00,dF,0.0
2,2024-03-02 00:00:00,nA,0.0
2,2024-03-02 00:00:00,nM,0.0
2,2024-03-02 00:00:00,nC,0.0
2,2024-03-02 00:00:00,nn,0.0
2,2024-03-02 00:00:00,dW,1.0
2,2024-03-02 00:00:00,eW,0.0
2,2024-03-02 00:00:00,do,0.0
2,2024-03-02 00:00:00,ho,0.0
2,2024-03-02 00:00:00,Ex,0.0
2,2024-03-02 00:00:00,emp,0.0
2,2024-03-03 00:00:00,dA,0.0
2,2024-03-03 00:00:00,dM,0.0
2,2024-03-03 00:00:00,dC,0.0
2,2024-03-03 00:00:00,dF,0.0
2,2024-03-03 00:00:00,nA,0.0
2,2024-03-03 00:00:00,nM,0.0
2,2024-03-03 00:00:00,nC,0.0
2,2024-03-03 00:00:00,nn,0.0
2,2024-03-03 00:00:00,dW,0.0
2,2024-03-03 00:00:00,eW,0.0
2,2024-03-03 00:00:00,do,1.0
2,2024-03-03 00:00:00,ho,0.0
2,2024-03-03 00:00:00,Ex,0.0
2,2024-03-03 00:00:00,emp,0.0
2,2024-03-04 00:00:00,dA,0.0
2,2024-03-04 00:00:00,dM,0.0
2,2024-03-04 00:00:00,dC,0.0
2,2024-03-04 00:00:00,dF,0.0
2,2024-03-04 00:00:00,nA,0.0
2,2024-03-04 00:00:00,nM,0.0
2,2024-03-04 00:00:00,nC,0.0
2,2024-03-04 00:00:00,nn,0.0
2,2024-03-04 00:00:00,dW,1.0
2,2024-03-04 00:00:00,eW,0.0
2,2024-03-04 00:00:00,do,0.0
2,2024-03-04 00:00:00,ho,0.0
2,2024-03-04 00:00:00,Ex,0.0
2,2024-03-04 00:00:00,emp,0.0
2,2024-03-05 00:00:00,dA,0.0
2,2024-03-05 00:00:00,dM,0.0
2,2024-03-05 00:00:00,dC,0.0
2,2024-03-05 00:00:00,dF,0.0
2,2024-03-05 00:00:00,nA,0.0
2,2024-03-05 00:00:00,nM,0.0
2,2024-03-05 00:00:00,nC,0.0
2,2024-03-05 00:00:00,nn,0.0
