"#2022/12/17 00:36:58,Optimal"
2,0,63
2,1,10
2,2,8
2,3,8
2,4,8
2,5,8
2,6,8
2,7,10
2,8,10
2,9,8
2,10,8
2,11,8
2,12,8
2,13,8
2,14,63
2,15,10
2,16,8
2,17,8
2,18,8
2,19,8
2,20,8
2,21,10
2,22,10
2,23,8
2,24,8
2,25,8
2,26,8
2,27,8
2,28,10
2,29,10
4,0,10
4,1,10
4,2,8
4,3,8
4,4,8
4,5,8
4,6,8
4,7,8
4,8,10
4,9,8
4,10,8
4,11,8
4,12,8
4,13,8
4,14,8
4,15,10
4,16,8
4,17,8
4,18,8
4,19,8
4,20,8
4,21,10
4,22,10
4,23,8
4,24,8
4,25,8
4,26,8
4,27,8
4,28,10
4,29,10
5,0,8
5,1,10
5,2,8
5,3,8
5,4,8
5,5,8
5,6,8
5,7,10
5,8,10
5,9,8
5,10,8
5,11,8
5,12,8
5,13,8
5,14,8
5,15,10
5,16,8
5,17,8
5,18,8
5,19,8
5,20,8
5,21,10
5,22,10
5,23,8
5,24,8
5,25,8
5,26,8
5,27,8
5,28,10
5,29,10
6,0,10
6,1,10
6,2,8
6,3,8
6,4,8
6,5,8
6,6,8
6,7,3
6,8,10
6,9,8
6,10,8
6,11,8
6,12,8
6,13,8
6,14,8
6,15,10
6,16,8
6,17,8
6,18,8
6,19,8
6,20,8
6,21,2
6,22,10
6,23,10
6,24,8
6,25,8
6,26,8
6,27,8
6,28,10
6,29,10
7,0,8
7,1,10
7,2,8
7,3,8
7,4,8
7,5,8
7,6,8
7,7,10
7,8,10
7,9,8
7,10,8
7,11,8
7,12,8
7,13,8
7,14,8
7,15,10
7,16,8
7,17,8
7,18,8
7,19,8
7,20,8
7,21,10
7,22,10
7,23,8
7,24,8
7,25,8
7,26,8
7,27,8
7,28,10
7,29,10
8,0,8
8,1,10
8,2,8
8,3,8
8,4,8
8,5,8
8,6,8
8,7,10
8,8,10
8,9,8
8,10,8
8,11,8
8,12,8
8,13,10
8,14,10
8,15,6
8,16,7
8,17,8
8,18,8
8,19,8
8,20,8
8,21,10
8,22,6
8,23,7
8,24,8
8,25,8
8,26,8
8,27,8
8,28,10
8,29,10
9,0,8
9,1,10
9,2,8
9,3,8
9,4,8
9,5,8
9,6,8
9,7,10
9,8,10
9,9,8
9,10,8
9,11,8
9,12,8
9,13,8
9,14,8
9,15,10
9,16,8
9,17,8
9,18,8
9,19,8
9,20,8
9,21,10
9,22,10
9,23,8
9,24,8
9,25,8
9,26,8
9,27,8
9,28,10
9,29,10
10,0,8
10,1,10
10,2,8
10,3,8
10,4,8
10,5,8
10,6,10
10,7,10
10,8,3
10,9,8
10,10,8
10,11,8
10,12,8
10,13,8
10,14,8
10,15,10
10,16,10
10,17,8
10,18,8
10,19,8
10,20,8
10,21,10
10,22,10
10,23,8
10,24,8
10,25,8
10,26,8
10,27,8
10,28,3
10,29,10
11,0,8
11,1,10
11,2,8
11,3,8
11,4,8
11,5,8
11,6,8
11,7,10
11,8,10
11,9,8
11,10,8
11,11,8
11,12,8
11,13,8
11,14,10
11,15,10
11,16,8
11,17,10
11,18,10
11,19,8
11,20,8
11,21,6
11,22,7
11,23,8
11,24,8
11,25,8
11,26,8
11,27,8
11,28,10
11,29,3
12,0,8
12,1,10
12,2,63
12,3,63
12,4,63
12,5,63
12,6,63
12,7,10
12,8,10
12,9,4
12,10,7
12,11,8
12,12,8
12,13,8
12,14,8
12,15,4
12,16,7
12,17,8
12,18,8
12,19,8
12,20,8
12,21,10
12,22,10
12,23,8
12,24,8
12,25,8
12,26,10
12,27,8
12,28,10
12,29,10
13,0,8
13,1,10
13,2,8
13,3,8
13,4,8
13,5,8
13,6,8
13,7,10
13,8,10
13,9,8
13,10,8
13,11,8
13,12,8
13,13,8
13,14,8
13,15,10
13,16,8
13,17,63
13,18,63
13,19,63
13,20,8
13,21,10
13,22,10
13,23,8
13,24,8
13,25,8
13,26,8
13,27,8
13,28,10
13,29,10
14,0,8
14,1,10
14,2,8
14,3,8
14,4,8
14,5,8
14,6,8
14,7,10
14,8,10
14,9,8
14,10,8
14,11,8
14,12,8
14,13,8
14,14,8
14,15,10
14,16,8
14,17,8
14,18,8
14,19,8
14,20,8
14,21,10
14,22,10
14,23,8
14,24,8
14,25,8
14,26,8
14,27,8
14,28,10
14,29,10
15,0,8
15,1,10
15,2,6
15,3,7
15,4,8
15,5,8
15,6,8
15,7,10
15,8,10
15,9,8
15,10,8
15,11,8
15,12,6
15,13,7
15,14,8
15,15,10
15,16,8
15,17,8
15,18,8
15,19,8
15,20,8
15,21,10
15,22,10
15,23,8
15,24,10
15,25,10
15,26,8
15,27,8
15,28,6
15,29,7
16,0,8
16,1,10
16,2,8
16,3,8
16,4,8
16,5,8
16,6,8
16,7,10
16,8,10
16,9,8
16,10,8
16,11,8
16,12,8
16,13,8
16,14,8
16,15,10
16,16,8
16,17,8
16,18,8
16,19,8
16,20,8
16,21,10
16,22,10
16,23,8
16,24,8
16,25,8
16,26,8
16,27,8
16,28,10
16,29,10
17,0,8
17,1,10
17,2,8
17,3,10
17,4,8
17,5,8
17,6,8
17,7,10
17,8,10
17,9,8
17,10,8
17,11,8
17,12,8
17,13,8
17,14,8
17,15,3
17,16,8
17,17,8
17,18,8
17,19,8
17,20,8
17,21,10
17,22,10
17,23,8
17,24,8
17,25,8
17,26,8
17,27,10
17,28,10
17,29,3
18,0,8
18,1,3
18,2,8
18,3,8
18,4,8
18,5,8
18,6,63
18,7,10
18,8,10
18,9,8
18,10,8
18,11,8
18,12,8
18,13,8
18,14,8
18,15,10
18,16,8
18,17,8
18,18,8
18,19,10
18,20,8
